Sensor_Metrica,Importancia
CE_max,0.1363061447092369
CE_min,0.11117508959049692
CE_mean,0.10150812041274834
CP_mean,0.07664423662099593
CP_max,0.07130569718384736
TS4_mean,0.06464934186321453
PS6_min,0.05709618381291801
PS5_max,0.05362383911090458
PS6_max,0.05228124810853385
CP_min,0.051075784484116364
TS4_max,0.049252713081342395
TS4_min,0.03889839340112064
PS6_mean,0.03787797366402747
PS5_min,0.023985130765839167
TS1_mean,0.014225068689642838
PS1_min,0.013762481869248304
TS1_min,0.01026458181935281
PS5_mean,0.010060267200783556
FS2_max,0.005806845982222024
PS1_mean,0.0049625224268126334
VS1_max,0.004687193244339999
FS2_min,0.0046629223418692325
TS1_std,0.001185043427722618
FS2_mean,0.0010367355268860242
PS1_std,0.0006975827626093508
TS4_std,0.00042377013421363436
PS6_std,0.0004234359159373175
EPS1_std,0.0004225604217560589
PS5_std,0.0003864449472636963
VS1_mean,0.0003578843481163702
VS1_min,0.0003242721898784726
CP_std,0.0001764594348546981
FS2_std,0.00014025083050272022
CE_std,0.0001221514183472413
FS1_mean,9.996418355184573e-05
EPS1_mean,3.173671012012317e-05
EPS1_max,2.5207970904445536e-05
TS1_max,2.1859239943242042e-05
FS1_max,1.2860153778415075e-05
PS1_max,0.0
FS1_min,0.0
FS1_std,0.0
EPS1_min,0.0
VS1_std,0.0
