Sensor_Metrica,Importancia
CE_mean,0.12160394142317363
CE_min,0.08587608004590905
CP_min,0.08045534817924463
PS6_mean,0.0776120387397124
TS4_max,0.0698678656963573
CE_max,0.06735095094300393
CP_max,0.06686127452105892
CP_mean,0.061495095128881384
PS6_max,0.058980246406200976
PS5_max,0.04813508402497474
PS5_mean,0.034562185842645386
TS4_mean,0.033890145977775496
TS1_mean,0.028286470320307743
PS5_min,0.023725707576781864
PS6_min,0.02363787774361092
TS4_min,0.019533249871691527
TS1_max,0.013809107444497601
EPS1_std,0.010105781921960315
PS3_mean,0.00987349253626033
EPS1_max,0.009827450034123638
TS3_max,0.009808976993731136
VS1_max,0.009374984605621629
TS2_std,0.005415212096787193
PS1_min,0.005105494309155505
PS2_mean,0.005097511215591255
TS1_min,0.004563290066845507
FS2_max,0.004512649800999417
TS3_min,0.004489207909143799
FS2_min,0.000992413938905329
TS1_std,0.0009748093015713444
PS5_std,0.0005978965011393971
VS1_mean,0.00040391481143308745
TS4_std,0.00032282015230498425
FS2_mean,0.00025987242712540527
TS2_min,0.00024709469019308113
TS3_std,0.00023106884423346568
PS4_std,0.0002301992875383707
VS1_min,0.00018685225831606824
CP_std,0.00018560466133438178
PS4_max,0.00018430344706278312
TS3_mean,0.0001723138921956753
CE_std,0.00016007088118608496
PS2_max,0.00014929464042958438
PS4_mean,0.00014238756303330672
FS2_std,0.00012203619649076885
PS1_std,9.925945893424295e-05
PS6_std,9.728940453632215e-05
PS3_std,8.53641064745651e-05
EPS1_mean,6.789186913819312e-05
SE_max,6.779577456993107e-05
FS1_std,4.5830302836804536e-05
FS1_mean,2.708903678247273e-05
PS2_std,2.3221961148012816e-05
SE_std,2.223461079707513e-05
SE_mean,2.2005555611125434e-05
PS3_max,1.9959191857279267e-05
PS1_max,2.383856773658392e-06
PS1_mean,0.0
PS2_min,0.0
PS4_min,0.0
FS1_max,0.0
FS1_min,0.0
PS3_min,0.0
TS2_max,0.0
VS1_std,0.0
TS2_mean,0.0
EPS1_min,0.0
SE_min,0.0
